EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
ph莕 u 01	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST04.spr	FM_HD_003_ST05.spr	FM_HD_003_ST06.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_IJ01.spr	FM_HD_003_IJ02.spr	FM_HD_003_IJ03.spr	FM_HD_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_AT07.spr	FM_HD_003_MG01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_ZZ01.spr	FM_HD_003_JP01.spr	FM_HD_003_RD01.spr	FM_HD_003_HR01.spr	FM_HD_003_HR01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HI01.spr	All_DE01.spr	FM_HD_003_RD01.spr	FM_HD_003_RD01.spr
ph莕 u 02	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST04.spr	FM_HD_003_ST05.spr	FM_HD_003_ST06.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_IJ01.spr	FM_HD_003_IJ02.spr	FM_HD_003_IJ03.spr	FM_HD_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_AT07.spr	FM_HD_003_MG01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_ZZ01.spr	FM_HD_003_JP01.spr	FM_HD_003_RD01.spr	FM_HD_003_HR01.spr	FM_HD_003_HR01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HI01.spr	All_DE01.spr	FM_HD_003_RD01.spr	FM_HD_003_RD01.spr
ph莕 u 03	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST01.spr	FM_HD_003_ST04.spr	FM_HD_003_ST05.spr	FM_HD_003_ST06.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_RN01.spr	FM_HD_003_RN01.spr	FM_HD_003_RN02.spr	FM_HD_003_RN03.spr	FM_HD_003_RN04.spr	FM_HD_003_IJ01.spr	FM_HD_003_IJ02.spr	FM_HD_003_IJ03.spr	FM_HD_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_AT07.spr	FM_HD_003_MG01.spr	FM_HD_003_AT01.spr	FM_HD_003_AT03.spr	FM_HD_003_AT04.spr	FM_HD_003_AT07.spr	FM_HD_003_ZZ01.spr	FM_HD_003_JP01.spr	FM_HD_003_RD01.spr	FM_HD_003_HR01.spr	FM_HD_003_HR01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HA01.spr	FM_HD_003_HI01.spr	All_DE01.spr	FM_HD_003_RD01.spr	FM_HD_003_RD01.spr
ph莕 u 04	FM_HD_005_ST01.spr	FM_HD_005_ST01.spr	FM_HD_005_ST01.spr	FM_HD_005_ST04.spr	FM_HD_005_ST05.spr	FM_HD_005_ST06.spr	FM_HD_005_RN01.spr	FM_HD_005_RN01.spr	FM_HD_005_RN02.spr	FM_HD_005_RN03.spr	FM_HD_005_RN04.spr	FM_HD_005_RN01.spr	FM_HD_005_RN01.spr	FM_HD_005_RN02.spr	FM_HD_005_RN03.spr	FM_HD_005_RN04.spr	FM_HD_005_IJ01.spr	FM_HD_005_IJ02.spr	FM_HD_005_IJ03.spr	FM_HD_005_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_005_AT01.spr	FM_HD_005_AT03.spr	FM_HD_005_AT03.spr	FM_HD_005_AT04.spr	FM_HD_005_AT04.spr	FM_HD_005_AT07.spr	FM_HD_005_AT07.spr	FM_HD_005_MG01.spr	FM_HD_005_AT01.spr	FM_HD_005_AT03.spr	FM_HD_005_AT04.spr	FM_HD_005_AT07.spr	FM_HD_005_ZZ01.spr	FM_HD_005_JP01.spr	FM_HD_005_RD01.spr	FM_HD_005_HR01.spr	FM_HD_005_HR01.spr	FM_HD_005_HA01.spr	FM_HD_005_HA01.spr	FM_HD_005_HA01.spr	FM_HD_005_HI01.spr	All_DE01.spr	FM_HD_005_RD01.spr	FM_HD_005_RD01.spr
ph莕 u 05	FM_HD_005_ST01.spr	FM_HD_005_ST01.spr	FM_HD_005_ST01.spr	FM_HD_005_ST04.spr	FM_HD_005_ST05.spr	FM_HD_005_ST06.spr	FM_HD_005_RN01.spr	FM_HD_005_RN01.spr	FM_HD_005_RN02.spr	FM_HD_005_RN03.spr	FM_HD_005_RN04.spr	FM_HD_005_RN01.spr	FM_HD_005_RN01.spr	FM_HD_005_RN02.spr	FM_HD_005_RN03.spr	FM_HD_005_RN04.spr	FM_HD_005_IJ01.spr	FM_HD_005_IJ02.spr	FM_HD_005_IJ03.spr	FM_HD_005_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_005_AT01.spr	FM_HD_005_AT03.spr	FM_HD_005_AT03.spr	FM_HD_005_AT04.spr	FM_HD_005_AT04.spr	FM_HD_005_AT07.spr	FM_HD_005_AT07.spr	FM_HD_005_MG01.spr	FM_HD_005_AT01.spr	FM_HD_005_AT03.spr	FM_HD_005_AT04.spr	FM_HD_005_AT07.spr	FM_HD_005_ZZ01.spr	FM_HD_005_JP01.spr	FM_HD_005_RD01.spr	FM_HD_005_HR01.spr	FM_HD_005_HR01.spr	FM_HD_005_HA01.spr	FM_HD_005_HA01.spr	FM_HD_005_HA01.spr	FM_HD_005_HI01.spr	All_DE01.spr	FM_HD_005_RD01.spr	FM_HD_005_RD01.spr
ph莕 u 06	FM_HD_006_ST01.spr	FM_HD_006_ST01.spr	FM_HD_006_ST01.spr	FM_HD_006_ST04.spr	FM_HD_006_ST05.spr	FM_HD_006_ST06.spr	FM_HD_006_RN01.spr	FM_HD_006_RN01.spr	FM_HD_006_RN02.spr	FM_HD_006_RN03.spr	FM_HD_006_RN04.spr	FM_HD_006_RN01.spr	FM_HD_006_RN01.spr	FM_HD_006_RN02.spr	FM_HD_006_RN03.spr	FM_HD_006_RN04.spr	FM_HD_006_IJ01.spr	FM_HD_006_IJ02.spr	FM_HD_006_IJ03.spr	FM_HD_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_006_AT01.spr	FM_HD_006_AT03.spr	FM_HD_006_AT03.spr	FM_HD_006_AT04.spr	FM_HD_006_AT04.spr	FM_HD_006_AT07.spr	FM_HD_006_AT07.spr	FM_HD_006_MG01.spr	FM_HD_006_AT01.spr	FM_HD_006_AT03.spr	FM_HD_006_AT04.spr	FM_HD_006_AT07.spr	FM_HD_006_ZZ01.spr	FM_HD_006_JP01.spr	FM_HD_006_RD01.spr	FM_HD_006_HR01.spr	FM_HD_006_HR01.spr	FM_HD_006_HA01.spr	FM_HD_006_HA01.spr	FM_HD_006_HA01.spr	FM_HD_006_HI01.spr	All_DE01.spr	FM_HD_006_RD01.spr	FM_HD_006_RD01.spr
ph莕 u 07	FM_HD_008_ST01.spr	FM_HD_008_ST01.spr	FM_HD_008_ST01.spr	FM_HD_008_ST04.spr	FM_HD_008_ST05.spr	FM_HD_008_ST06.spr	FM_HD_008_RN01.spr	FM_HD_008_RN01.spr	FM_HD_008_RN02.spr	FM_HD_008_RN03.spr	FM_HD_008_RN04.spr	FM_HD_008_RN01.spr	FM_HD_008_RN01.spr	FM_HD_008_RN02.spr	FM_HD_008_RN03.spr	FM_HD_008_RN04.spr	FM_HD_008_IJ01.spr	FM_HD_008_IJ02.spr	FM_HD_008_IJ03.spr	FM_HD_008_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_008_AT01.spr	FM_HD_008_AT03.spr	FM_HD_008_AT03.spr	FM_HD_008_AT04.spr	FM_HD_008_AT04.spr	FM_HD_008_AT07.spr	FM_HD_008_AT07.spr	FM_HD_008_MG01.spr	FM_HD_008_AT01.spr	FM_HD_008_AT03.spr	FM_HD_008_AT04.spr	FM_HD_008_AT07.spr	FM_HD_008_ZZ01.spr	FM_HD_008_JP01.spr	FM_HD_008_RD01.spr	FM_HD_008_HR01.spr	FM_HD_008_HR01.spr	FM_HD_008_HA01.spr	FM_HD_008_HA01.spr	FM_HD_008_HA01.spr	FM_HD_008_HI01.spr	All_DE01.spr	FM_HD_008_RD01.spr	FM_HD_008_RD01.spr
ph莕 u 08	FM_HD_008_ST01.spr	FM_HD_008_ST01.spr	FM_HD_008_ST01.spr	FM_HD_008_ST04.spr	FM_HD_008_ST05.spr	FM_HD_008_ST06.spr	FM_HD_008_RN01.spr	FM_HD_008_RN01.spr	FM_HD_008_RN02.spr	FM_HD_008_RN03.spr	FM_HD_008_RN04.spr	FM_HD_008_RN01.spr	FM_HD_008_RN01.spr	FM_HD_008_RN02.spr	FM_HD_008_RN03.spr	FM_HD_008_RN04.spr	FM_HD_008_IJ01.spr	FM_HD_008_IJ02.spr	FM_HD_008_IJ03.spr	FM_HD_008_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_008_AT01.spr	FM_HD_008_AT03.spr	FM_HD_008_AT03.spr	FM_HD_008_AT04.spr	FM_HD_008_AT04.spr	FM_HD_008_AT07.spr	FM_HD_008_AT07.spr	FM_HD_008_MG01.spr	FM_HD_008_AT01.spr	FM_HD_008_AT03.spr	FM_HD_008_AT04.spr	FM_HD_008_AT07.spr	FM_HD_008_ZZ01.spr	FM_HD_008_JP01.spr	FM_HD_008_RD01.spr	FM_HD_008_HR01.spr	FM_HD_008_HR01.spr	FM_HD_008_HA01.spr	FM_HD_008_HA01.spr	FM_HD_008_HA01.spr	FM_HD_008_HI01.spr	All_DE01.spr	FM_HD_008_RD01.spr	FM_HD_008_RD01.spr
ph莕 u 09	FM_HD_009_ST01.spr	FM_HD_009_ST01.spr	FM_HD_009_ST01.spr	FM_HD_009_ST04.spr	FM_HD_009_ST05.spr	FM_HD_009_ST06.spr	FM_HD_009_RN01.spr	FM_HD_009_RN01.spr	FM_HD_009_RN02.spr	FM_HD_009_RN03.spr	FM_HD_009_RN04.spr	FM_HD_009_RN01.spr	FM_HD_009_RN01.spr	FM_HD_009_RN02.spr	FM_HD_009_RN03.spr	FM_HD_009_RN04.spr	FM_HD_009_IJ01.spr	FM_HD_009_IJ02.spr	FM_HD_009_IJ03.spr	FM_HD_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_009_AT01.spr	FM_HD_009_AT03.spr	FM_HD_009_AT03.spr	FM_HD_009_AT04.spr	FM_HD_009_AT04.spr	FM_HD_009_AT07.spr	FM_HD_009_AT07.spr	FM_HD_009_MG01.spr	FM_HD_009_AT01.spr	FM_HD_009_AT03.spr	FM_HD_009_AT04.spr	FM_HD_009_AT07.spr	FM_HD_009_ZZ01.spr	FM_HD_009_JP01.spr	FM_HD_009_RD01.spr	FM_HD_009_HR01.spr	FM_HD_009_HR01.spr	FM_HD_009_HA01.spr	FM_HD_009_HA01.spr	FM_HD_009_HA01.spr	FM_HD_009_HI01.spr	All_DE01.spr	FM_HD_009_RD01.spr	FM_HD_009_RD01.spr
ph莕 u 10	FM_HD_011_ST01.spr	FM_HD_011_ST01.spr	FM_HD_011_ST01.spr	FM_HD_011_ST04.spr	FM_HD_011_ST05.spr	FM_HD_011_ST06.spr	FM_HD_011_RN01.spr	FM_HD_011_RN01.spr	FM_HD_011_RN02.spr	FM_HD_011_RN03.spr	FM_HD_011_RN04.spr	FM_HD_011_RN01.spr	FM_HD_011_RN01.spr	FM_HD_011_RN02.spr	FM_HD_011_RN03.spr	FM_HD_011_RN04.spr	FM_HD_011_IJ01.spr	FM_HD_011_IJ02.spr	FM_HD_011_IJ03.spr	FM_HD_011_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HD_011_AT01.spr	FM_HD_011_AT03.spr	FM_HD_011_AT03.spr	FM_HD_011_AT04.spr	FM_HD_011_AT04.spr	FM_HD_011_AT07.spr	FM_HD_011_AT07.spr	FM_HD_011_MG01.spr	FM_HD_011_AT01.spr	FM_HD_011_AT03.spr	FM_HD_011_AT04.spr	FM_HD_011_AT07.spr	FM_HD_011_ZZ01.spr	FM_HD_011_JP01.spr	FM_HD_011_RD01.spr	FM_HD_011_HR01.spr	FM_HD_011_HR01.spr	FM_HD_011_HA01.spr	FM_HD_011_HA01.spr	FM_HD_011_HA01.spr	FM_HD_011_HI01.spr	All_DE01.spr	FM_HD_011_RD01.spr	FM_HD_011_RD01.spr
